학교명,학교급,학교특성,주소,위도,경도,전화번호,홈페이지 주소,남녀공학
국립국악고등학교,4,특수목적고등학교,"서울특별시 강남구 개포로22길 65 (개포동, 국악고등학교)",37.4762299,127.0514757,02-3460-0500,http://gugak.sen.hs.kr,공학
서울대학교사범대학부설고등학교,4,일반고등학교,서울특별시 성북구 월곡로 6 (종암동),37.59472375,127.0381187,02-913-7305,https://snu.sen.hs.kr/,공학
국립전통예술고등학교,4,특수목적고등학교,서울특별시 금천구 시흥대로38길 62 (시흥동),37.446354,126.906414,02-896-1094,http://kugak-am.sen.hs.kr,공학
가락고등학교,4,일반고등학교,"서울특별시 송파구 송이로 42 (송파동,가락고등학교)",37.501637,127.116943,02-416-4658,http://garak.sen.hs.kr,공학
강동고등학교,4,일반고등학교,서울특별시 강동구 구천면로 572 (상일동),37.54989,127.160702,02-427-0231,http://kangdong.sen.hs.kr,공학
강서고등학교,4,일반고등학교,"서울특별시 양천구 목동중앙남로 27 , 강서고등학교 (목동)",37.5367773,126.8663295,02-2642-0725,http://gangseo.sen.hs.kr,남
개포고등학교,4,일반고등학교,"서울특별시 강남구 개포로 402 (개포동, 개포고등학교)",37.48495876,127.0594054,02-576-3333,http://gaepo.sen.hs.kr,공학
건국대학교사범대학부속고등학교,4,일반고등학교,"서울특별시 광진구 능동로 120 , 건국대학교사범대학부속고등학교 (화양동)",37.54006,127.08034,070-7012-3500,http://konkuk.sen.hs.kr,공학
경기고등학교,4,일반고등학교,"서울특별시 강남구 영동대로 643 , 경기고등학교 (삼성동)",37.51756598,127.0560739,02-3496-7300,http://kyunggi.sen.hs.kr,남
경기여자고등학교,4,일반고등학교,"서울특별시 강남구 삼성로 29 , 경기여자고등학교 (개포동)",37.48688726,127.0655669,02-573-6797,http://kgg.sen.hs.kr,녀
경동고등학교,4,일반고등학교,"서울특별시 성북구 보문로29길 49 (삼선동3가, 경동고등학교)",37.5862,127.014664,02-928-2353,http://kyungdong.sen.hs.kr,남
경문고등학교,4,일반고등학교,"서울특별시 동작구 동작대로 171 , 경문고등학교 (동작동)",37.49309576,126.9816993,02-535-1301,http://kyungmoon.sen.hs.kr,남
경복고등학교,4,일반고등학교,"서울특별시 종로구 자하문로28가길 9 , 경복고등학교 (청운동,경복고등학교)",37.587418,126.971434,02-397-5301,http://kyungbock.sen.hs.kr,남
경복여자고등학교,4,일반고등학교,"서울특별시 강서구 화곡로63길 40 , 경복여자고등학교 (등촌동)",37.55782075,126.8505974,02-3661-1741,http://kb.sen.hs.kr,녀
경성고등학교,4,일반고등학교,"서울특별시 마포구 성미산로 111 , 경성고등학교 (연남동)",37.563341,126.918767,02-3140-1168,http://gyeongseong.sen.hs.kr,남
경신고등학교,4,일반고등학교,"서울특별시 종로구 혜화로 74 (혜화동,경신중고등학교)",37.592173,127.000227,02-762-0393,http://kyungshin.sen.hs.kr,남
경인고등학교,4,일반고등학교,"서울특별시 구로구 경인로46길 31 , 경인고등학교 (고척동)",37.49599386,126.8654306,02-2618-3043,http://kyeongin.sen.hs.kr,공학
경희고등학교,4,자율고등학교,"서울특별시 동대문구 경희대로 26 (회기동, 경희고등학교)",37.594912,127.054904,02-966-3782,http://www.kyungheeboy.hs.kr/,남
경희여자고등학교,4,일반고등학교,"서울특별시 동대문구 경희대로 26 , 경희여자고등학교 (회기동)",37.594927,127.051115,02-966-4560,http://kyunghee.sen.hs.kr,녀
계성고등학교,4,일반고등학교,"서울특별시 성북구 길음로 63 , 계성고등학교 (길음동)",37.60771,127.02031,02-728-6100,gyeseong.sen.hs.kr,공학
고려대학교사범대학부속고등학교,4,일반고등학교,"서울특별시 성북구 정릉로 161 , 고려대학교사범대학부속고등학교 (정릉동)",37.609816,127.001571,02-914-7483,http://koreahi.sen.hs.kr,남
고척고등학교,4,일반고등학교,"서울특별시 구로구 중앙로15길 162 , 고척고등학교 (고척동, 고척고등학교)",37.50804857,126.8498688,02-2616-9813,http://gocheok.sen.hs.kr,공학
공항고등학교,4,일반고등학교,"서울특별시 강서구 방화대로34길 43 (마곡동, 공항고등학교)",37.570122,126.81842,02-2664-6874,http://konghang.sen.hs.kr,공학
관악고등학교,4,일반고등학교,서울특별시 영등포구 영등포로6길 26 (양평동2가),37.52179202,126.8829228,02-2633-5954,http://kwan-ak.sen.hs.kr,공학
광남고등학교,4,일반고등학교,"서울특별시 광진구 아차산로70길 17-16 , 광남고등학교 (광장동,광남고등학교)",37.54151337,127.1012125,02-2204-8705,http://gwang-nam.sen.hs.kr,공학
광문고등학교,4,일반고등학교,"서울특별시 강동구 동남로 968 , 광문고등학교 (고덕동)",37.56046136,127.1585483,02-427-2870,http://gwangmun.sen.hs.kr,공학
광성고등학교,4,일반고등학교,서울특별시 마포구 신수로8길 20 (신수동),37.5486226,126.9363687,02-703-3457,http://kwangsung.sen.hs.kr,남
